"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/10/31 9:41:33 AM CET","41-45","Ž","Da","PBZ;Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Zahtjev za nenamjenski kredit","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","-","-","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 9:49:11 AM CET","41-45","M","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Zahtjev za nenamjenski kredit","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Ukidanje opunomoćenika;Virtualnu karticu","","","","Da, u potpunosti sigurno"
"2020/10/31 10:56:49 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Da, u potpunosti sigurno"
"2020/10/31 11:00:40 AM CET","36-40","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da, ali treba ga dodatno unaprijediti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","-","Kupovina","Prednosti dostupnost,nedostaci komplicirani sigurnosni protokoli","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:02:05 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","Revolut","Kupovina, transfer novca","Jednostavnija aplikacija","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:03:54 AM CET","41-45","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Ulaganje u investicijske fondove;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","Ništa","Nemam odgovor","Ne znam","Da, u potpunosti sigurno"
"2020/10/31 11:07:15 AM CET","41-45","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Niti jednu","Niti jednu","Prednost- ne treba se ici u banku, mana- nesigurnost, tesko za vecinu starijih i slabijih u IKT ","Ne osjećam se sigurno"
"2020/10/31 11:07:22 AM CET","41-45","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Ne koristim","Nista","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:08:08 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","/","/","/","Da, u potpunosti sigurno"
"2020/10/31 11:08:08 AM CET","41-45","M","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da, ali treba ga dodatno unaprijediti","Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","RaiPay?","Kupovina","Ne znan","Da, ali samo koristeći Internet/Mobilno bankarstvo"
